sales_id,transaction_id,transaction_date,transaction_time,customer_id,instore_yn,product_id,quantity,unit_price
1,7,1/4/2019,12:04:43,558,N,52,1,2.5
2,11,1/4/2019,15:54:39,781,N,27,2,3.5
3,19,1/4/2019,14:34:59,788,Y,46,2,2.5
4,32,1/4/2019,16:06:04,683,N,23,2,2.5
5,33,1/4/2019,19:18:37,99,Y,34,1,2.45
6,39,1/4/2019,18:54:46,664,Y,32,1,3
7,50,1/4/2019,13:03:49,316,N,49,2,3
8,53,1/4/2019,11:21:14,38,N,60,1,3.75
9,59,1/4/2019,19:30:55,370,Y,51,2,3
10,62,1/4/2019,12:01:00,180,Y,49,2,3
11,81,1/4/2019,13:20:51,35,Y,35,2,3.1
12,90,1/4/2019,11:40:20,595,N,47,1,3
13,91,1/4/2019,12:27:43,500,N,25,2,2.2
14,94,1/4/2019,17:37:02,128,Y,23,2,2.5
15,101,1/4/2019,12:26:34,599,Y,48,2,2.5
16,103,1/4/2019,14:33:32,152,Y,53,2,3
17,108,1/4/2019,16:11:18,65,N,40,1,3.75
18,112,1/4/2019,13:03:38,90,Y,37,2,3
19,117,1/4/2019,18:25:04,82,Y,60,1,3.75
20,120,1/4/2019,15:51:44,174,N,53,2,3
21,127,1/4/2019,13:58:40,116,N,41,2,4.25
22,134,1/4/2019,11:49:29,189,Y,38,2,3.75
23,135,1/4/2019,17:01:36,131,Y,40,1,3.75
24,137,1/4/2019,11:10:04,264,Y,40,1,3.75
25,138,1/4/2019,13:17:42,722,Y,38,1,3.75
26,141,1/4/2019,14:07:25,302,Y,50,1,2.5
27,143,1/4/2019,13:17:00,174,Y,59,2,4.5
28,150,1/4/2019,12:24:53,604,Y,28,1,2
29,156,1/4/2019,12:30:00,32,N,34,1,2.45
30,156,1/4/2019,12:30:00,32,N,77,1,3
31,162,1/4/2019,19:07:40,470,N,55,1,4
32,165,1/4/2019,16:44:46,127,Y,54,2,2.5
33,175,1/4/2019,19:54:12,553,Y,47,1,3
34,180,1/4/2019,17:52:36,518,Y,45,2,3
